,name,f1,tn,fn,fp,tp,tnr,fnr,fpr,tpr
516,MSI,0.5714285714285715,35,47,43,60,0.4268292682926829,0.573170731707317,0.4174757281553398,0.5825242718446602
517,MSA,0.36708860759493667,56,31,69,29,0.6436781609195402,0.3563218390804598,0.7040816326530612,0.29591836734693877
518,MSCI,0.6347826086956522,28,60,24,73,0.3181818181818182,0.6818181818181818,0.24742268041237114,0.7525773195876289
519,MRSN,0.44303797468354433,62,39,49,35,0.6138613861386139,0.38613861386138615,0.5833333333333334,0.4166666666666667
520,MSN,0.0,111,0,71,0,1.0,0.0,1.0,0.0
521,MTDR,0.0,99,0,86,0,1.0,0.0,1.0,0.0
522,MTBCP,0.4242424242424243,55,27,68,35,0.6707317073170732,0.32926829268292684,0.6601941747572816,0.33980582524271846
523,MSD,0.0,95,0,90,0,1.0,0.0,1.0,0.0
524,MUR,0.3614457831325302,49,55,51,30,0.47115384615384615,0.5288461538461539,0.6296296296296297,0.37037037037037035
525,MUI,0.0,91,0,94,0,1.0,0.0,1.0,0.0
526,MTZ,0.6397058823529411,0,98,0,87,0.0,1.0,0.0,1.0
527,MTSI,0.6971830985915494,0,86,0,99,0.0,1.0,0.0,1.0
528,MXIM,0.6463878326996197,7,83,10,85,0.07777777777777778,0.9222222222222223,0.10526315789473684,0.8947368421052632
529,MVT,0.0,97,0,88,0,1.0,0.0,1.0,0.0
530,MUX,0.32167832167832167,65,37,60,23,0.6372549019607843,0.3627450980392157,0.7228915662650602,0.27710843373493976
531,MTW,0.0,100,0,85,0,1.0,0.0,1.0,0.0
532,MYE,0.0,96,0,89,0,1.0,0.0,1.0,0.0
533,MUFG,0.5674418604651162,31,75,18,61,0.29245283018867924,0.7075471698113207,0.22784810126582278,0.7721518987341772
534,MYL,0.6296296296296297,0,100,0,85,0.0,1.0,0.0,1.0
535,NBH,0.5258215962441314,28,68,33,56,0.2916666666666667,0.7083333333333334,0.3707865168539326,0.6292134831460674
536,NBHC,0.3515151515151515,49,44,63,29,0.5268817204301075,0.4731182795698925,0.6847826086956522,0.31521739130434784
537,NBW,0.0,95,0,90,0,1.0,0.0,1.0,0.0
538,MYOS,0.027027027027027025,112,0,72,1,1.0,0.0,0.9863013698630136,0.0136986301369863
539,MYFW,0.525,11,60,16,42,0.15492957746478872,0.8450704225352113,0.27586206896551724,0.7241379310344828
540,NC,0.6330275229357798,36,56,24,69,0.391304347826087,0.6086956521739131,0.25806451612903225,0.7419354838709677
541,MYRG,0.6496350364963505,0,96,0,89,0.0,1.0,0.0,1.0
542,NBLX,0.5130890052356021,43,60,33,49,0.4174757281553398,0.5825242718446602,0.4024390243902439,0.5975609756097561
543,NAVB,0.0,102,0,83,0,1.0,0.0,1.0,0.0
544,NAV,0.6346863468634686,0,99,0,86,0.0,1.0,0.0,1.0
545,NAN,0.6050420168067226,19,74,20,72,0.20430107526881722,0.7956989247311828,0.21739130434782608,0.782608695652174
546,NFBK,0.5245901639344263,50,50,37,48,0.5,0.5,0.43529411764705883,0.5647058823529412
547,NGD,0.4635761589403974,69,39,42,35,0.6388888888888888,0.3611111111111111,0.5454545454545454,0.45454545454545453
548,NET,0.5161290322580646,10,14,16,16,0.4166666666666667,0.5833333333333334,0.5,0.5
549,NH,0.35616438356164387,65,32,62,26,0.6701030927835051,0.32989690721649484,0.7045454545454546,0.29545454545454547
550,NEWA,0.0,105,0,80,0,1.0,0.0,1.0,0.0
551,NHA,0.4675324675324675,67,34,48,36,0.6633663366336634,0.33663366336633666,0.5714285714285714,0.42857142857142855
552,NFG,0.6296296296296297,0,100,0,85,0.0,1.0,0.0,1.0
553,NG,0.0,89,0,96,0,1.0,0.0,1.0,0.0
554,NEBUU,0.5555555555555556,0,24,0,15,0.0,1.0,0.0,1.0
555,NEXA,0.6186440677966102,22,73,17,73,0.23157894736842105,0.7684210526315789,0.18888888888888888,0.8111111111111111
556,NI,0.6738351254480287,0,91,0,94,0.0,1.0,0.0,1.0
557,NMI,0.47337278106508873,56,32,57,40,0.6363636363636364,0.36363636363636365,0.5876288659793815,0.41237113402061853
558,NMRD,0.0,103,0,82,0,1.0,0.0,1.0,0.0
559,NML,0.5116279069767442,57,47,37,44,0.5480769230769231,0.4519230769230769,0.4567901234567901,0.5432098765432098
560,NOC,0.5963302752293578,32,53,35,65,0.3764705882352941,0.6235294117647059,0.35,0.65
561,NJR,0.4235294117647059,51,42,56,36,0.5483870967741935,0.45161290322580644,0.6086956521739131,0.391304347826087
562,NKTR,0.5779816513761468,30,69,23,63,0.30303030303030304,0.696969696969697,0.26744186046511625,0.7325581395348837
563,NPN,0.17142857142857143,82,14,73,9,0.8541666666666666,0.14583333333333334,0.8902439024390244,0.10975609756097561
564,NP,0.5445026178010471,46,53,34,52,0.46464646464646464,0.5353535353535354,0.3953488372093023,0.6046511627906976
565,NRBO,0.2589928057553957,64,35,68,18,0.6464646464646465,0.35353535353535354,0.7906976744186046,0.20930232558139536
566,NRK,0.6341463414634145,17,71,19,78,0.19318181818181818,0.8068181818181818,0.1958762886597938,0.8041237113402062
567,NTIP,0.0,99,0,86,0,1.0,0.0,1.0,0.0
568,NRZ,0.625,31,51,33,70,0.3780487804878049,0.6219512195121951,0.32038834951456313,0.6796116504854369
569,NSA,0.7197231833910035,0,81,0,104,0.0,1.0,0.0,1.0
570,NREF,0.0,1,0,1,0,1.0,0.0,1.0,0.0
571,NRGO,0.3636363636363636,9,0,7,2,1.0,0.0,0.7777777777777778,0.2222222222222222
572,NSYS,0.0,111,0,68,0,1.0,0.0,1.0,0.0
573,NTCT,0.0,88,0,97,0,1.0,0.0,1.0,0.0
574,NSCO,0.09836065573770493,66,4,51,3,0.9428571428571428,0.05714285714285714,0.9444444444444444,0.05555555555555555
575,NR,0.0,106,0,79,0,1.0,0.0,1.0,0.0
576,NVO,0.7062937062937062,0,84,0,101,0.0,1.0,0.0,1.0
577,NUVA,0.26573426573426573,61,27,78,19,0.6931818181818182,0.3068181818181818,0.8041237113402062,0.1958762886597938
578,NWN,0.6879432624113475,0,88,0,97,0.0,1.0,0.0,1.0
579,NVR,0.0,86,0,99,0,1.0,0.0,1.0,0.0
580,NVEE,0.44047619047619047,54,35,59,37,0.6067415730337079,0.39325842696629215,0.6145833333333334,0.3854166666666667
581,NTRS,0.35526315789473684,60,34,64,27,0.6382978723404256,0.3617021276595745,0.7032967032967034,0.2967032967032967
582,NTP,0.0,103,0,82,0,1.0,0.0,1.0,0.0
583,NUV,0.0,89,0,96,0,1.0,0.0,1.0,0.0
584,ODFL,0.6913580246913581,17,54,21,84,0.23943661971830985,0.7605633802816901,0.2,0.8
585,OCFT,0.4,10,0,3,1,1.0,0.0,0.75,0.25
586,ODP,0.47619047619047616,41,55,44,45,0.4270833333333333,0.5729166666666666,0.4943820224719101,0.5056179775280899
587,OCC,0.0,110,0,75,0,1.0,0.0,1.0,0.0
588,OBNK,0.0,79,0,68,0,1.0,0.0,1.0,0.0
589,OGE,0.6642599277978339,0,93,0,92,0.0,1.0,0.0,1.0
590,NXR,0.568888888888889,24,68,29,64,0.2608695652173913,0.7391304347826086,0.3118279569892473,0.6881720430107527
591,OCCI,0.39316239316239315,24,48,23,23,0.3333333333333333,0.6666666666666666,0.5,0.5
592,OBCI,0.06521739130434784,96,10,76,3,0.9056603773584906,0.09433962264150944,0.9620253164556962,0.0379746835443038
593,OCSL,0.29333333333333333,57,47,59,22,0.5480769230769231,0.4519230769230769,0.7283950617283951,0.2716049382716049
594,OCFC,0.538860103626943,44,53,36,52,0.4536082474226804,0.5463917525773195,0.4090909090909091,0.5909090909090909
595,OKE,0.6925795053003534,0,87,0,98,0.0,1.0,0.0,1.0
596,OLN,0.0,102,0,83,0,1.0,0.0,1.0,0.0
597,OIA,0.0,94,0,91,0,1.0,0.0,1.0,0.0
598,OMER,0.6545454545454547,0,95,0,90,0.0,1.0,0.0,1.0
599,ORBC,0.0,106,0,79,0,1.0,0.0,1.0,0.0
